21-Sep-2023 18:50:16 PM  Probe rad: 1.9 um  Pump rad: 3 um
Offset (microns)	R (1000000 Hz)	Theta (1000000 Hz)	R (1584890 Hz)	Theta (1584890 Hz)	R (2511890 Hz)	Theta (2511890 Hz)	R (3981070 Hz)	Theta (3981070 Hz)	R (6309570 Hz)	Theta (6309570 Hz)	R (50000000 Hz)	Theta (50000000 Hz)	
-6.1051051e-01	5.5231783e-01	-3.8920673e+00	5.4545654e-01	-5.3576267e+00	5.3571504e-01	-7.3478966e+00	5.2360840e-01	-1.0201682e+01	5.0393998e-01	-1.4450598e+01	2.7835976e-01	-5.4349494e+01
-3.1051051e-01	5.7068453e-01	-3.8228882e+00	5.6390112e-01	-5.2160970e+00	5.5328817e-01	-7.3389334e+00	5.4302950e-01	-1.0085141e+01	5.2288614e-01	-1.4350892e+01	2.8961595e-01	-5.3994042e+01
-1.0510511e-02	5.6536926e-01	-3.8152474e+00	5.5840696e-01	-5.2766771e+00	5.4872042e-01	-7.3340594e+00	5.3754814e-01	-1.0217906e+01	5.1675544e-01	-1.4357091e+01	2.8638429e-01	-5.4279354e+01
2.8948949e-01	5.6258689e-01	-3.8734197e+00	5.5578611e-01	-5.3191935e+00	5.4719244e-01	-7.3304102e+00	5.3429852e-01	-1.0173316e+01	5.1608373e-01	-1.4480030e+01	2.8554672e-01	-5.4203176e+01
5.8948949e-01	5.3900933e-01	-3.9827544e+00	5.3195905e-01	-5.4539481e+00	5.2245257e-01	-7.4918350e+00	5.1019390e-01	-1.0350627e+01	4.9106952e-01	-1.4726216e+01	2.6858686e-01	-5.3988838e+01
8.8948949e-01	5.3963436e-01	-3.9898119e+00	5.3195343e-01	-5.4646993e+00	5.2184245e-01	-7.4871671e+00	5.1114603e-01	-1.0456392e+01	4.9107229e-01	-1.4727888e+01	2.6945811e-01	-5.4360054e+01
1.1894895e+00	5.0410101e-01	-4.1456928e+00	4.9736548e-01	-5.6861698e+00	4.8747472e-01	-7.9075126e+00	4.7519151e-01	-1.0807907e+01	4.5653753e-01	-1.5204788e+01	2.4444129e-01	-5.5362380e+01
1.4894895e+00	4.6497923e-01	-4.3763074e+00	4.5840996e-01	-6.0096038e+00	4.4879047e-01	-8.2023876e+00	4.3777028e-01	-1.1299909e+01	4.1815010e-01	-1.5857436e+01	2.1789805e-01	-5.5845839e+01
1.7894895e+00	4.4493612e-01	-4.5212061e+00	4.3852623e-01	-6.1399709e+00	4.2903323e-01	-8.4934882e+00	4.1694087e-01	-1.1488858e+01	3.9854846e-01	-1.6324751e+01	2.0457536e-01	-5.6529665e+01
2.0894895e+00	3.9309056e-01	-4.9735167e+00	3.8579663e-01	-6.6378884e+00	3.7717187e-01	-9.1093624e+00	3.6620696e-01	-1.2436348e+01	3.4857653e-01	-1.7381628e+01	1.7048115e-01	-5.8667197e+01
2.3894895e+00	3.5191282e-01	-5.2500535e+00	3.4529318e-01	-7.1929063e+00	3.3615687e-01	-9.8347249e+00	3.2501914e-01	-1.3279060e+01	3.0841332e-01	-1.8541979e+01	1.4497283e-01	-6.0360225e+01
2.6894895e+00	3.2262524e-01	-5.6522471e+00	3.1595572e-01	-7.6905086e+00	3.0780614e-01	-1.0425456e+01	2.9559631e-01	-1.3955213e+01	2.8069742e-01	-1.9367856e+01	1.2716007e-01	-6.1224186e+01
2.9894895e+00	2.8080211e-01	-6.2685941e+00	2.7451229e-01	-8.3315326e+00	2.6583968e-01	-1.1408552e+01	2.5564394e-01	-1.5398041e+01	2.3977708e-01	-2.0868827e+01	9.9674534e-02	-6.3916756e+01
3.2894895e+00	2.4067625e-01	-7.1061479e+00	2.3469835e-01	-9.3485396e+00	2.2643350e-01	-1.2540702e+01	2.1606768e-01	-1.6983409e+01	2.0085638e-01	-2.2928417e+01	7.7126648e-02	-6.8084793e+01
3.5894895e+00	2.2234524e-01	-7.3908423e+00	2.1560942e-01	-9.9361292e+00	2.0666955e-01	-1.3321751e+01	1.9817987e-01	-1.7787538e+01	1.8312967e-01	-2.4164772e+01	6.6370986e-02	-7.1196175e+01
3.8894895e+00	1.7948800e-01	-8.7325333e+00	1.7315030e-01	-1.1566464e+01	1.6587439e-01	-1.5494739e+01	1.5534042e-01	-2.0587575e+01	1.4158750e-01	-2.8240021e+01	4.5173236e-02	-7.8745081e+01
4.1894895e+00	1.5676265e-01	-9.6999314e+00	1.5099623e-01	-1.2779431e+01	1.4472743e-01	-1.7032397e+01	1.3456350e-01	-2.2662893e+01	1.2172416e-01	-3.0559976e+01	3.2466682e-02	-8.2619676e+01
4.4894895e+00	1.4472135e-01	-1.0188588e+01	1.3866630e-01	-1.3830789e+01	1.3114481e-01	-1.7899057e+01	1.2295714e-01	-2.4432677e+01	1.0963276e-01	-3.2454641e+01	2.6288589e-02	-8.8455470e+01
4.7894895e+00	1.2502091e-01	-1.1400991e+01	1.1962013e-01	-1.5201534e+01	1.1278014e-01	-2.0224003e+01	1.0350080e-01	-2.7514930e+01	9.1641395e-02	-3.6478874e+01	1.8244271e-02	-9.8561740e+01
5.0894895e+00	1.0986770e-01	-1.2664257e+01	1.0454633e-01	-1.6665676e+01	9.8358505e-02	-2.1885594e+01	8.9251176e-02	-2.9138758e+01	7.8787656e-02	-3.9206544e+01	1.4442021e-02	-1.0679860e+02
5.3894895e+00	1.0012222e-01	-1.3773189e+01	9.5361131e-02	-1.7762357e+01	8.8603724e-02	-2.4143248e+01	8.0481517e-02	-3.1677816e+01	6.9796261e-02	-4.1581684e+01	1.1077151e-02	-1.0746928e+02
5.6894895e+00	8.8430159e-02	-1.4924876e+01	8.3145641e-02	-1.9428663e+01	7.6550752e-02	-2.5762458e+01	6.9320605e-02	-3.3691499e+01	5.9991028e-02	-4.6452229e+01	1.0891593e-02	-1.2806080e+02
5.9894895e+00	8.4545570e-02	-1.5581487e+01	7.9330901e-02	-2.0140798e+01	7.3358141e-02	-2.6927944e+01	6.6393881e-02	-3.5681587e+01	5.6999807e-02	-4.7073981e+01	7.2141536e-03	-1.2382522e+02
6.2894895e+00	7.5977565e-02	-1.6855248e+01	7.1702363e-02	-2.1486450e+01	6.4656113e-02	-2.8399787e+01	5.8092133e-02	-3.7958497e+01	4.8868921e-02	-4.9570674e+01	6.7665271e-03	-1.2809755e+02
6.5894895e+00	7.0938478e-02	-1.7474588e+01	6.5763971e-02	-2.2817944e+01	5.9468023e-02	-2.9905383e+01	5.2418753e-02	-4.0240116e+01	4.5265563e-02	-5.1608634e+01	3.5114749e-03	-1.5762956e+02
6.8894895e+00	6.6821898e-02	-1.8185457e+01	6.1662559e-02	-2.4116376e+01	5.6091749e-02	-3.1635227e+01	4.9134399e-02	-4.1021416e+01	4.1998791e-02	-5.4952864e+01	2.9220588e-03	-1.4774596e+02
7.1894895e+00	6.1731408e-02	-1.8772104e+01	5.7669169e-02	-2.4889551e+01	5.1814267e-02	-3.2025599e+01	4.5832600e-02	-4.2819139e+01	3.7619000e-02	-5.6811423e+01	2.5912481e-03	-1.2809446e+02
7.4894895e+00	5.8240179e-02	-1.9697974e+01	5.3603737e-02	-2.5807202e+01	4.8264688e-02	-3.4023678e+01	4.1563740e-02	-4.4033138e+01	3.4592407e-02	-5.8711452e+01	2.4184456e-03	-4.3982856e+01
7.7894895e+00	5.5979851e-02	-2.0391121e+01	5.1155066e-02	-2.7014115e+01	4.5597256e-02	-3.5700887e+01	3.8530151e-02	-4.6749214e+01	3.2560691e-02	-6.1272188e+01	2.5147172e-03	-5.2564317e+00
8.0894895e+00	5.1486793e-02	-2.1237944e+01	4.7494131e-02	-2.8379570e+01	4.2370077e-02	-3.6360612e+01	3.6115303e-02	-4.6371816e+01	2.9498926e-02	-6.2653148e+01	1.3330892e-03	-1.7875780e+02
8.3894895e+00	4.9729006e-02	-2.2045614e+01	4.5080467e-02	-2.8947667e+01	4.0259675e-02	-3.7431115e+01	3.4824976e-02	-4.9573905e+01	2.7989261e-02	-6.5651187e+01	1.7206779e-04	-5.7792247e+01
8.6894895e+00	4.7315344e-02	-2.2881042e+01	4.3254081e-02	-3.0217665e+01	3.8500780e-02	-3.7963783e+01	3.2216727e-02	-5.0413708e+01	2.6136661e-02	-6.6022265e+01	9.7718470e-04	-1.5654441e+02
8.9894895e+00	4.4958830e-02	-2.3974496e+01	4.0970562e-02	-3.0920316e+01	3.6030805e-02	-4.0554869e+01	3.0091938e-02	-5.3457181e+01	2.4306616e-02	-6.9491165e+01	8.1432017e-04	-1.2263489e+02
9.2894895e+00	4.2246538e-02	-2.4729137e+01	3.8392175e-02	-3.2244492e+01	3.4071019e-02	-4.2132681e+01	2.8240637e-02	-5.4193696e+01	2.2350629e-02	-7.2085086e+01	1.6420113e-03	-4.3868637e+01
9.5894895e+00	4.1690317e-02	-2.4890834e+01	3.7401491e-02	-3.2386085e+01	3.3230239e-02	-4.1372262e+01	2.8143078e-02	-5.6801595e+01	2.0675693e-02	-7.3994619e+01	8.1905139e-04	-9.1549983e+01
9.8894895e+00	3.9239163e-02	-2.5727507e+01	3.5315295e-02	-3.3845320e+01	3.0922196e-02	-4.4017640e+01	2.4535646e-02	-5.8849725e+01	2.0199361e-02	-7.4838297e+01	1.2212195e-04	-1.6399971e+02
1.0189489e+01	3.7097674e-02	-2.7228684e+01	3.3403418e-02	-3.4306552e+01	2.8633346e-02	-4.5648472e+01	2.3635051e-02	-5.6903630e+01	1.7880937e-02	-7.4856106e+01	1.3111974e-03	-9.2763524e+01
1.0489489e+01	3.5573054e-02	-2.7503702e+01	3.1764355e-02	-3.5505642e+01	2.7620020e-02	-4.7867874e+01	2.2725049e-02	-5.8609336e+01	1.7531887e-02	-7.9375092e+01	5.2357366e-04	-1.1866524e+02
