21-Sep-2023 20:39:58 PM  Probe rad: 1.9 um  Pump rad: 3 um
Offset (microns)	R (1000000 Hz)	Theta (1000000 Hz)	R (1584890 Hz)	Theta (1584890 Hz)	R (2511890 Hz)	Theta (2511890 Hz)	R (3981070 Hz)	Theta (3981070 Hz)	R (6309570 Hz)	Theta (6309570 Hz)	R (50000000 Hz)	Theta (50000000 Hz)	
-2.3954955e+00	5.4231915e-01	-1.0782858e+01	5.1664079e-01	-1.3772019e+01	4.8571030e-01	-1.7587061e+01	4.4756905e-01	-2.2460848e+01	4.0104381e-01	-2.8590649e+01	1.4342535e-01	-6.4203808e+01
-2.0954955e+00	6.0626880e-01	-9.9237947e+00	5.7985525e-01	-1.2727614e+01	5.4813837e-01	-1.6338417e+01	5.0817145e-01	-2.0830917e+01	4.5979092e-01	-2.6603946e+01	1.7609670e-01	-6.3238606e+01
-1.7954955e+00	6.5332118e-01	-9.4203762e+00	6.2710321e-01	-1.2100802e+01	5.9393318e-01	-1.5597418e+01	5.5396557e-01	-1.9993576e+01	5.0420109e-01	-2.5593405e+01	1.9986280e-01	-6.2835697e+01
-1.4954955e+00	7.0211717e-01	-8.9526068e+00	6.7546346e-01	-1.1544280e+01	6.4201425e-01	-1.4892822e+01	6.0113481e-01	-1.9147826e+01	5.5043239e-01	-2.4590101e+01	2.2550982e-01	-6.1743483e+01
-1.1954955e+00	7.4660121e-01	-8.5615209e+00	7.1927286e-01	-1.1045097e+01	6.8580248e-01	-1.4231144e+01	6.4346278e-01	-1.8399367e+01	5.9116681e-01	-2.3654496e+01	2.4822941e-01	-6.1114198e+01
-8.9549550e-01	7.8921581e-01	-8.1835183e+00	7.6183166e-01	-1.0611582e+01	7.2675196e-01	-1.3762250e+01	6.8473747e-01	-1.7741556e+01	6.3137039e-01	-2.2993084e+01	2.7448431e-01	-6.0460739e+01
-5.9549550e-01	8.1082270e-01	-8.0403751e+00	7.8279573e-01	-1.0391026e+01	7.4789804e-01	-1.3446192e+01	7.0617956e-01	-1.7479583e+01	6.5250496e-01	-2.2605660e+01	2.8528039e-01	-6.0049335e+01
-2.9549550e-01	8.3028975e-01	-7.9257629e+00	8.0277766e-01	-1.0265278e+01	7.6738364e-01	-1.3282647e+01	7.2503623e-01	-1.7222981e+01	6.7047235e-01	-2.2281952e+01	2.9730264e-01	-5.9754069e+01
4.5045045e-03	8.3723249e-01	-7.9116773e+00	8.1029726e-01	-1.0223202e+01	7.7581602e-01	-1.3279155e+01	7.3205092e-01	-1.7220129e+01	6.7731728e-01	-2.2218384e+01	2.9927800e-01	-5.9499361e+01
3.0450450e-01	8.3627751e-01	-7.8305133e+00	8.0850880e-01	-1.0210121e+01	7.7370695e-01	-1.3212344e+01	7.3049267e-01	-1.7121205e+01	6.7582950e-01	-2.2141903e+01	2.9989140e-01	-5.9114992e+01
6.0450450e-01	8.1254902e-01	-8.0466801e+00	7.8426876e-01	-1.0440975e+01	7.5006837e-01	-1.3544163e+01	7.0610413e-01	-1.7459019e+01	6.5229489e-01	-2.2634433e+01	2.8462524e-01	-5.9338130e+01
9.0450450e-01	7.7882400e-01	-8.3252219e+00	7.5178543e-01	-1.0742951e+01	7.1735582e-01	-1.3916100e+01	6.7515814e-01	-1.7878227e+01	6.2237517e-01	-2.3157571e+01	2.6793656e-01	-6.0201115e+01
1.2045045e+00	7.5543405e-01	-8.4959667e+00	7.2878186e-01	-1.1005429e+01	6.9434464e-01	-1.4241440e+01	6.5224608e-01	-1.8264914e+01	5.9915490e-01	-2.3522774e+01	2.5322896e-01	-6.0456160e+01
1.5045045e+00	6.9636876e-01	-8.9985944e+00	6.6965588e-01	-1.1621557e+01	6.3653776e-01	-1.4909857e+01	5.9586729e-01	-1.9210050e+01	5.4363113e-01	-2.4727297e+01	2.2107231e-01	-6.1721764e+01
1.8045045e+00	6.2306934e-01	-9.8059222e+00	5.9687553e-01	-1.2601280e+01	5.6334423e-01	-1.6198637e+01	5.2490287e-01	-2.0664699e+01	4.7443564e-01	-2.6463401e+01	1.8329064e-01	-6.2929374e+01
2.1045045e+00	6.0039860e-01	-1.0057059e+01	5.7449913e-01	-1.2888044e+01	5.4170056e-01	-1.6536646e+01	5.0258873e-01	-2.1117899e+01	4.5388987e-01	-2.7145103e+01	1.6999554e-01	-6.3231031e+01
2.4045045e+00	5.3447695e-01	-1.0959791e+01	5.0853481e-01	-1.4030296e+01	4.7748896e-01	-1.7988489e+01	4.3989052e-01	-2.2812656e+01	3.9313213e-01	-2.9122149e+01	1.3949360e-01	-6.5868308e+01
2.7045045e+00	4.8145540e-01	-1.1770965e+01	4.5640975e-01	-1.5058992e+01	4.2560153e-01	-1.9183619e+01	3.8995868e-01	-2.4450950e+01	3.4566965e-01	-3.0853348e+01	1.1426518e-01	-6.6866558e+01
3.0045045e+00	4.5502158e-01	-1.2268936e+01	4.3012650e-01	-1.5747158e+01	3.9984849e-01	-2.0097361e+01	3.6476559e-01	-2.5324433e+01	3.2089309e-01	-3.2316540e+01	1.0058242e-01	-6.8995493e+01
3.3045045e+00	3.8374180e-01	-1.3886193e+01	3.6031667e-01	-1.7759004e+01	3.3178565e-01	-2.2582687e+01	2.9828217e-01	-2.8490694e+01	2.5806430e-01	-3.5911865e+01	7.0597757e-02	-7.3785800e+01
3.6045045e+00	3.5808551e-01	-1.4566465e+01	3.3562052e-01	-1.8618341e+01	3.0789053e-01	-2.3602783e+01	2.7572208e-01	-2.9708760e+01	2.3704446e-01	-3.7387481e+01	6.0389488e-02	-7.2821296e+01
3.9045045e+00	3.0400306e-01	-1.6554344e+01	2.8172368e-01	-2.0991350e+01	2.5578564e-01	-2.6762848e+01	2.2551523e-01	-3.3655274e+01	1.9037236e-01	-4.2663046e+01	4.2375556e-02	-8.0003857e+01
4.2045045e+00	2.6649912e-01	-1.8222785e+01	2.4540515e-01	-2.3094778e+01	2.1922090e-01	-2.9616026e+01	1.9113956e-01	-3.6687931e+01	1.5797028e-01	-4.6539883e+01	2.7002417e-02	-8.4659720e+01
