21-Sep-2023 18:4:45 PM  Probe rad: 1.9 um  Pump rad: 3 um
Offset (microns)	R (1000000 Hz)	Theta (1000000 Hz)	R (1584890 Hz)	Theta (1584890 Hz)	R (2511890 Hz)	Theta (2511890 Hz)	R (3981070 Hz)	Theta (3981070 Hz)	R (6309570 Hz)	Theta (6309570 Hz)	R (50000000 Hz)	Theta (50000000 Hz)	
1.1443544e+01	3.9061067e-02	-4.1498519e+01	3.2531726e-02	-5.3723477e+01	2.5780696e-02	-6.8132717e+01	1.9544501e-02	-8.7201648e+01	1.2569976e-02	-1.1147653e+02	1.9108409e-03	1.0707378e+01
1.1743544e+01	3.7342527e-02	-4.3197611e+01	3.0721056e-02	-5.5503003e+01	2.3589536e-02	-7.1444885e+01	1.8007712e-02	-9.2865863e+01	1.2283639e-02	-1.1543736e+02	8.2343063e-04	-4.4384914e+01
1.2043544e+01	3.5504113e-02	-4.3277686e+01	2.9572534e-02	-5.7019969e+01	2.2241591e-02	-7.2469876e+01	1.6905297e-02	-9.4216019e+01	1.0888222e-02	-1.1996499e+02	2.3406062e-03	-1.1480892e+02
1.2343544e+01	3.3620181e-02	-4.4501990e+01	2.7530458e-02	-5.9017796e+01	2.1045704e-02	-7.3742313e+01	1.5399402e-02	-9.6221702e+01	9.6405369e-03	-1.2604424e+02	6.5988283e-04	-3.3343508e+01
1.2643544e+01	3.2513954e-02	-4.6035099e+01	2.6284770e-02	-5.8840873e+01	2.1005469e-02	-7.5985945e+01	1.4165428e-02	-9.8331244e+01	8.8184174e-03	-1.2792195e+02	2.1096795e-03	-9.3266205e+01
1.2943544e+01	3.1738587e-02	-4.6532373e+01	2.5670106e-02	-6.0244448e+01	1.9775071e-02	-7.5420919e+01	1.2853778e-02	-9.8611021e+01	8.5594599e-03	-1.3284063e+02	1.9577074e-03	-9.8046303e+01
1.3243544e+01	3.0056005e-02	-4.7714722e+01	2.4080679e-02	-6.1159523e+01	1.7682365e-02	-8.1720518e+01	1.3077638e-02	-1.0366005e+02	8.3732557e-03	-1.3357565e+02	2.6704499e-03	-4.1946636e+01
1.3543544e+01	2.8961072e-02	-4.9494936e+01	2.3118642e-02	-6.2721683e+01	1.7378271e-02	-7.8923525e+01	1.2101349e-02	-1.0501374e+02	7.6667249e-03	-1.4040524e+02	2.2972083e-04	-4.5348250e+01
1.3843544e+01	2.7770063e-02	-4.9454993e+01	2.2244097e-02	-6.4753980e+01	1.6322101e-02	-8.3075012e+01	1.1420950e-02	-1.0703916e+02	7.0768277e-03	-1.3365882e+02	1.5050896e-03	-1.7732720e+01
1.4143544e+01	2.6341516e-02	-5.0530175e+01	2.1047909e-02	-6.5358732e+01	1.6074700e-02	-8.5727003e+01	1.1733665e-02	-1.0873015e+02	6.4559981e-03	-1.4413387e+02	8.0192404e-04	-1.3011796e+02
1.4443544e+01	2.5126556e-02	-5.2019327e+01	2.0645009e-02	-6.6981827e+01	1.5173645e-02	-8.8312407e+01	9.7688538e-03	-1.0582746e+02	6.0549818e-03	-1.3734834e+02	2.9539624e-03	-1.4581301e+02
1.4743544e+01	2.4414362e-02	-5.3585608e+01	1.9584456e-02	-6.8039601e+01	1.4568805e-02	-8.8958588e+01	9.1031266e-03	-1.1545386e+02	5.4239650e-03	-1.4833693e+02	1.0659479e-03	-1.3396984e+02
1.5043544e+01	2.3529344e-02	-5.3991932e+01	1.8597807e-02	-6.8887556e+01	1.2928704e-02	-9.0935293e+01	9.5644905e-03	-1.1388038e+02	5.5356379e-03	-1.4956009e+02	1.2359856e-03	-3.6549272e+01
